Site,DO,Temp,Sal,Habitat,Site_Habitat,Time_Date
PG,11.2,18,31.7,Bare,PG.Bare,8/7/18 9:00
PG,11.5,18.2,32.1,Bare,PG.Bare,8/7/18 9:10
PG,11.8,18.4,31.1,Bare,PG.Bare,8/7/18 9:20
PG,12.2,18.5,31.6,Bare,PG.Bare,8/7/18 9:30
PG,12.4,18.6,31.6,Bare,PG.Bare,8/7/18 9:40
PG,12.7,18.7,32,Bare,PG.Bare,8/7/18 9:50
PG,12.7,18.8,32,Bare,PG.Bare,8/7/18 10:00
PG,12.8,18.8,31,Bare,PG.Bare,8/7/18 10:10
PG,11.4,17.9,30.9,Bare,PG.Bare,8/7/18 10:20
PG,10.9,17.3,31.8,Bare,PG.Bare,8/7/18 10:30
PG,11.2,17.1,32,Bare,PG.Bare,8/7/18 10:40
PG,10.9,16.9,32.1,Bare,PG.Bare,8/7/18 10:50
PG,11.2,16.9,32.2,Bare,PG.Bare,8/7/18 11:00
PG,11,16.8,32.2,Bare,PG.Bare,8/7/18 11:10
PG,10.8,16.7,32.1,Bare,PG.Bare,8/7/18 11:20
PG,10.6,16.5,32.3,Bare,PG.Bare,8/7/18 11:30
PG,10,16.2,32.3,Bare,PG.Bare,8/7/18 11:40
PG,9.7,15.9,32.3,Bare,PG.Bare,8/7/18 11:50
PG,9.5,15.8,32.5,Bare,PG.Bare,8/7/18 12:00
PG,9.2,15.7,32.5,Bare,PG.Bare,8/7/18 12:10
PG,9.1,15.6,32.6,Bare,PG.Bare,8/7/18 12:20
PG,8.9,15.5,32.6,Bare,PG.Bare,8/7/18 12:30
PG,8.4,15.5,32.7,Bare,PG.Bare,8/7/18 12:40
PG,8.4,15.4,32.5,Bare,PG.Bare,8/7/18 12:50
PG,8.3,15.3,32.5,Bare,PG.Bare,8/7/18 13:00
PG,8.3,15.3,32.6,Bare,PG.Bare,8/7/18 13:10
PG,8.6,15.3,32.7,Bare,PG.Bare,8/7/18 13:20
PG,8.5,15.4,32.7,Bare,PG.Bare,8/7/18 13:30
PG,8.7,15.4,32.6,Bare,PG.Bare,8/7/18 13:40
PG,8.8,15.5,32.6,Bare,PG.Bare,8/7/18 13:50
PG,9,15.5,32.6,Bare,PG.Bare,8/7/18 14:00
PG,9.1,15.5,32.6,Bare,PG.Bare,8/7/18 14:10
PG,8.8,15.4,32.6,Bare,PG.Bare,8/7/18 14:20
PG,8.5,15.3,32.6,Bare,PG.Bare,8/7/18 14:30
PG,8.1,15.2,32.6,Bare,PG.Bare,8/7/18 14:40
PG,8.1,15.1,32.6,Bare,PG.Bare,8/7/18 14:50
PG,8.2,15.1,32.7,Bare,PG.Bare,8/7/18 15:00
PG,8.2,15.1,32.7,Bare,PG.Bare,8/7/18 15:10
PG,8.2,15.1,32.7,Bare,PG.Bare,8/7/18 15:20
PG,8.3,15.1,32.7,Bare,PG.Bare,8/7/18 15:30
PG,8.4,15.1,32.8,Bare,PG.Bare,8/7/18 15:40
PG,8.4,15.1,32.7,Bare,PG.Bare,8/7/18 15:50
PG,8.5,15.1,32.8,Bare,PG.Bare,8/7/18 16:00
PG,8.6,15.2,32.8,Bare,PG.Bare,8/7/18 16:10
PG,8.7,15.2,32.8,Bare,PG.Bare,8/7/18 16:20
PG,8.8,15.2,32.9,Bare,PG.Bare,8/7/18 16:30
PG,8.8,15.3,32.8,Bare,PG.Bare,8/7/18 16:40
PG,8.9,15.3,32.8,Bare,PG.Bare,8/7/18 16:50
PG,8.9,15.3,32.8,Bare,PG.Bare,8/7/18 17:00
PG,8.8,15.3,32.8,Bare,PG.Bare,8/7/18 17:10
PG,8.7,15.3,32.7,Bare,PG.Bare,8/7/18 17:20
PG,8.6,15.2,32.8,Bare,PG.Bare,8/7/18 17:30
PG,8.5,15.2,32.8,Bare,PG.Bare,8/7/18 17:40
PG,8.5,15.2,32.8,Bare,PG.Bare,8/7/18 17:50
PG,8.4,15.2,32.8,Bare,PG.Bare,8/7/18 18:00
PG,8.4,15.2,32.7,Bare,PG.Bare,8/7/18 18:10
PG,8.4,15.3,32.8,Bare,PG.Bare,8/7/18 18:20
PG,8.5,15.3,32.9,Bare,PG.Bare,8/7/18 18:30
PG,8.5,15.3,32.7,Bare,PG.Bare,8/7/18 18:40
PG,8.5,15.3,32.8,Bare,PG.Bare,8/7/18 18:50
PG,8.6,15.4,32.8,Bare,PG.Bare,8/7/18 19:00
PG,8.6,15.4,32.7,Bare,PG.Bare,8/7/18 19:10
PG,8.7,15.5,32.7,Bare,PG.Bare,8/7/18 19:20
PG,9,15.6,32.7,Bare,PG.Bare,8/7/18 19:30
PG,9,15.7,32.7,Bare,PG.Bare,8/7/18 19:40
PG,8.9,15.8,32.7,Bare,PG.Bare,8/7/18 19:50
PG,9,15.8,32.7,Bare,PG.Bare,8/7/18 20:00
PG,9.1,16,32.7,Bare,PG.Bare,8/7/18 20:10
